,time,volume
0,0.25,8044
1,0.3,9837
2,0.33,3497
3,0.5,6092
4,0.5,1295
5,0.5,10958
6,0.5,49965
7,0.5,15164
8,0.5,33604
9,0.5,4923
10,0.5,7367
11,0.5,409
12,0.5,23890
13,0.5,17339
14,0.67,18799
15,0.67,160
16,0.8,2949
17,1.0,7300
18,1.0,28955
19,1.0,15272
20,1.0,21095
21,1.0,7317
22,1.0,7036
23,1.0,5080
24,1.0,13018
25,1.0,33837
26,1.0,13198
27,1.0,16630
28,1.0,40184
29,1.0,12291
30,1.0,53627
31,1.0,12787
32,1.0,4473
33,1.0,5951
34,1.0,1396
35,1.0,22191
36,1.0,5169
37,1.0,7239
38,1.0,12852
39,1.0,4401
40,1.0,15417
41,1.0,556
42,1.0,675
43,1.0,5463
44,1.0,37663
45,1.0,4386
46,1.0,31475
47,1.0,12628
48,1.37,3742.0
49,1.5,398
50,1.5,14082
51,1.5,9695
52,1.5,29701
53,1.5,33007
54,1.5,1239
55,1.5,3216
56,1.5,2042
57,1.5,118
58,1.5,10154
59,1.5,28944
60,1.5,29318
61,1.5,38120
62,1.5,746
63,2.0,10367
64,2.0,19079
65,2.0,30776
66,2.0,11897
67,2.0,9700
68,2.0,16568
69,2.0,15254
70,2.0,1084
71,2.0,5848
72,2.0,16764
73,2.0,6480
74,2.0,32621
75,2.0,12949
76,2.0,25187
77,2.0,45074
78,2.0,4137
79,2.0,14681
80,2.0,41370
81,2.0,16139
82,2.0,27830
83,2.0,14353
84,2.0,10390
85,2.0,3974
86,2.0,19961
87,2.0,9003
88,2.0,10084
89,2.0,3661
90,2.0,21562
91,2.0,51879
92,2.0,29614
93,2.0,11533
94,2.0,42734
95,2.2,46988.0
96,2.5,48919
97,2.5,39868
98,2.8,17948
99,3.0,14430
100,3.0,23526
101,3.0,10197
102,3.0,12928
103,3.0,8178
104,3.0,25806
105,3.0,17633
106,3.0,15345
107,3.0,762
108,3.0,1091
109,3.0,18639
110,3.0,3327
111,3.0,9694
112,3.0,5318
113,3.0,16707
114,3.0,9653
115,3.0,7286
116,3.0,10227
117,3.0,8737
118,3.3,25699
119,3.58,3943.0
120,4.0,7036
121,4.0,21341
122,4.0,58419
123,4.0,18622
124,4.0,4242
125,4.0,12087
126,4.0,11109
127,4.0,35063
128,4.17,35646.0
129,4.5,13402
130,4.52,17429.0
131,4.95,7003.0
132,5.0,7667
133,5.0,2679
134,5.0,5759
135,5.0,16801
136,5.0,47392
137,5.0,9317
138,5.0,11179
139,5.47,33449.0
140,5.5,7907
141,5.5,8968
142,5.93,6081.0
143,6.0,26140
144,6.0,1500
145,6.1,527.0
146,6.53,21082.0
147,7.0,9073
148,7.0,56109
149,7.12,53311.0
150,7.43,82848.0
151,7.77,38.0
152,8.0,20309
153,8.0,44907
154,8.0,18378
155,8.0,31850
156,8.05,4015.0
157,8.23,33038.0
158,8.28,57898.0
159,8.83,8780.0
160,8.85,32668.0
161,9.0,20931
162,9.0,11107
163,9.03,32460.0
164,9.5,8814
165,9.52,41292.0
166,9.65,10374.0
167,10.0,7625
168,10.0,23326
169,10.0,23528
170,10.0,3955
171,10.0,11479
172,10.25,32889.0
173,10.3,63495.0
174,11.0,21395
175,11.35,40785.0
176,11.53,16723.0
177,11.68,16232.0
178,11.78,1644.0
179,11.93,711.0
180,11.97,44392.0
181,12.0,1097
182,12.42,39676.0
183,12.87,30752.0
184,13.18,76322.0
185,13.33,36267.0
186,13.43,11371.0
187,13.67,13297.0
188,13.77,6094.0
189,13.83,54354.0
190,14.0,33501
191,14.12,31618.0
192,14.62,8452.0
193,14.87,22075.0
194,14.92,23390.0
195,15.0,22355.0
196,15.18,9541.0
197,15.4,36582.0
198,15.57,40092.0
199,15.58,38354.0
200,15.62,58358.0
201,15.82,10710.0
202,16.0,12104.0
203,16.22,16033.0
204,16.27,33546.0
205,16.55,1776.0
206,16.98,18956.0
207,17.11,6618.0
208,17.15,3642.0
209,17.37,26888.0
210,17.48,28683.0
211,17.67,19517.0
212,17.72,38474.0
213,18.0,32434
214,18.28,13043.0
215,18.32,16594.0
216,18.38,21099.0
217,18.4,1154.0
218,19.02,9073.0
219,19.37,32322.0
220,19.65,18574.0
221,20.07,29545.0
222,20.35,11453.0
