,time,volume
0,0.5,15164
1,0.5,33604
2,1.0,4401
3,1.5,29318
4,2.0,16139
5,6.53,21082.0
6,8.0,18378
7,10.0,7625
8,11.35,40785.0
9,11.68,16232.0
10,18.0,32434
11,23.73,44899.0
12,25.98,53924.0
13,27.77,9134.0
14,29.18,28012.0
15,33.03,40860.0
16,35.3,55014.0
17,42.5,45743.0
18,44.08,20015.0
19,49.03,40634.0
20,56.88,20963.0
21,60.12,34542.0
22,71.87,69798.0
23,96.3,39878.0
24,107.15,77423.0
25,117.13,31287.0
26,118.9,37116.0
27,127.43,39921.0
28,129.95,104295.0
29,136.27,63043.0
30,148.28,54349.0
31,179.15,94712.0
32,191.87,89272.0
33,192.7,42807.0
34,204.1,39826.0
35,240.12,33087.0
36,271.6,61937.0
37,283.45,56867.0
38,285.02,127535.0
39,294.42,22092.0
40,297.97,79204.0
41,309.03,51531.0
42,347.62,97468.0
43,383.6,115006.0
44,409.02,20720.0
45,409.52,43794.0
46,434.08,49420.0
47,465.27,94574.0
48,473.13,115761.0
49,660.08,51033.0
50,678.55,67780.0
51,968.35,117530.0
52,975.1,8307.0
53,978.02,47223.0
