column,年龄,性别,脑出血前mRS评分,高血压病史,卒中病史,糖尿病史,房颤史,冠心病史,吸烟史,饮酒史,发病到首次影像检查时间间隔,血压高压,血压低压,脑室引流,止血治疗,降颅压治疗,降压治疗,镇静、镇痛治疗,止吐护胃,营养神经,HM_volume,HM_ACA_R_Ratio,HM_MCA_R_Ratio,HM_PCA_R_Ratio,HM_Pons_Medulla_R_Ratio,HM_Cerebellum_R_Ratio,HM_ACA_L_Ratio,HM_MCA_L_Ratio,HM_PCA_L_Ratio,HM_Pons_Medulla_L_Ratio,HM_Cerebellum_L_Ratio,ED_volume,ED_ACA_R_Ratio,ED_MCA_R_Ratio,ED_PCA_R_Ratio,ED_Pons_Medulla_R_Ratio,ED_Cerebellum_R_Ratio,ED_ACA_L_Ratio,ED_MCA_L_Ratio,ED_PCA_L_Ratio,ED_Pons_Medulla_L_Ratio,ED_Cerebellum_L_Ratio,original_shape_Elongation_ed,original_shape_Flatness_ed,original_shape_LeastAxisLength_ed,original_shape_MajorAxisLength_ed,original_shape_Maximum2DDiameterColumn_ed,original_shape_Maximum2DDiameterRow_ed,original_shape_Maximum2DDiameterSlice_ed,original_shape_Maximum3DDiameter_ed,original_shape_MeshVolume_ed,original_shape_MinorAxisLength_ed,original_shape_Sphericity_ed,original_shape_SurfaceArea_ed,original_shape_SurfaceVolumeRatio_ed,original_shape_VoxelVolume_ed,NCCT_original_firstorder_10Percentile_ed,NCCT_original_firstorder_90Percentile_ed,NCCT_original_firstorder_Energy_ed,NCCT_original_firstorder_Entropy_ed,NCCT_original_firstorder_InterquartileRange_ed,NCCT_original_firstorder_Kurtosis_ed,NCCT_original_firstorder_Maximum_ed,NCCT_original_firstorder_MeanAbsoluteDeviation_ed,NCCT_original_firstorder_Mean_ed,NCCT_original_firstorder_Median_ed,NCCT_original_firstorder_Minimum_ed,NCCT_original_firstorder_Range_ed,NCCT_original_firstorder_RobustMeanAbsoluteDeviation_ed,NCCT_original_firstorder_RootMeanSquared_ed,NCCT_original_firstorder_Skewness_ed,NCCT_original_firstorder_Uniformity_ed,NCCT_original_firstorder_Variance_ed,original_shape_Elongation_hm,original_shape_Flatness_hm,original_shape_LeastAxisLength_hm,original_shape_MajorAxisLength_hm,original_shape_Maximum2DDiameterColumn_hm,original_shape_Maximum2DDiameterRow_hm,original_shape_Maximum2DDiameterSlice_hm,original_shape_Maximum3DDiameter_hm,original_shape_MeshVolume_hm,original_shape_MinorAxisLength_hm,original_shape_Sphericity_hm,original_shape_SurfaceArea_hm,original_shape_SurfaceVolumeRatio_hm,original_shape_VoxelVolume_hm,NCCT_original_firstorder_10Percentile_hm,NCCT_original_firstorder_90Percentile_hm,NCCT_original_firstorder_Energy_hm,NCCT_original_firstorder_Entropy_hm,NCCT_original_firstorder_InterquartileRange_hm,NCCT_original_firstorder_Kurtosis_hm,NCCT_original_firstorder_Maximum_hm,NCCT_original_firstorder_MeanAbsoluteDeviation_hm,NCCT_original_firstorder_Mean_hm,NCCT_original_firstorder_Median_hm,NCCT_original_firstorder_Minimum_hm,NCCT_original_firstorder_Range_hm,NCCT_original_firstorder_RobustMeanAbsoluteDeviation_hm,NCCT_original_firstorder_RootMeanSquared_hm,NCCT_original_firstorder_Skewness_hm,NCCT_original_firstorder_Uniformity_hm,NCCT_original_firstorder_Variance_hm
年龄,1.0,0.3381082625735216,0.14879968478723138,0.15964870960872848,0.2517570569826938,0.08887173022356581,0.22218373109554707,0.29690350287276884,0.1317339042418631,0.18342666462977616,0.11285597162895823,0.1479272451604896,0.48091046536326665,0.15360534409832266,0.18801280057651434,0.18552382164193454,0.06756825138818637,0.0956442568271516,0.10262368243641191,0.1131425378855879,0.18285160983064738,0.19499058427207538,0.17351558598560743,0.1345336166383509,0.12143824488730812,0.1206878883134219,0.1406228227826873,0.1077233341493482,0.12750042512578,0.15209105906025097,0.11019272173762401,0.1250591719594795,0.1807968860018696,0.11574531182850938,0.170540874697474,0.11032477035983236,0.10861712708639676,0.13937732646571138,0.09234878549039043,0.10504526460318225,0.13281503327158523,0.12493733334366629,0.11568723611445408,0.10582662367392413,0.12423387894724465,0.10840743662119796,0.13426943357992496,0.1218636026344382,0.11512739038266122,0.11957879119390646,0.13305942544171315,0.12477790369977981,0.14375278193095573,0.1400253433999759,0.12595371572755445,0.13347052116986038,0.13044150388543244,0.11093417477250661,0.1328331351470042,0.1284660208740026,0.20122374224023284,0.12727526915469348,0.13198183339864164,0.19164481122649993,0.12158096393011007,0.12331959400607406,0.10841954835215348,0.12343504857028828,0.19712778749469168,0.11975010193171148,0.181679375782895,0.12785131938949312,0.18908262933847186,0.12993738392126317,0.11159729290683666,0.16909636766707295,0.18558499700709555,0.19568915026191266,0.18977136408310066,0.2136244296429005,0.21486110018891805,0.1753372500401907,0.18998918953060337,0.18164117470809935,0.18535263492626905,0.11434828747902835,0.17539828993506892,0.17242794315248375,0.10618211028835335,0.16389967323949048,0.18079299618855268,0.17301574553311874,0.1555637965599295,0.1403429180723336,0.15527667091201405,0.12899457473532241,0.125948869206364,0.14801139374140362,0.13233266077966044,0.1679475211885356,0.12489328395381499,0.1334349364790147,0.17430288572635097,0.14644244031325626
性别,0.3381082625735216,1.0,0.07915519044097948,0.16351013060003783,0.037513221613195986,0.025904036368685383,0.1159827396511994,0.025512890700427292,0.30848176636535357,0.2658729083711158,0.08676093993357553,0.06688246990576693,0.15085941470488648,0.13284847053787271,0.1343960708268081,0.03078861678665129,0.0023321571717604935,0.023280765897403605,0.05040945928303062,0.0807371014533076,0.13007970423588128,0.04797966452891654,0.041930305932802524,0.06957355485941279,0.07214942069547002,0.09436419484578211,0.09240418102538378,0.054372434297736645,0.07240776516888175,0.043971314864445055,0.046762589908733394,0.12293256037139008,0.1016158836228403,0.04590498016605001,0.06112625194690359,0.07953531588045339,0.030349964094001022,0.07350887373209523,0.030866496445155,0.08365259608051517,0.08612179150693758,0.08320449669982334,0.06638074156242674,0.12630313525543682,0.10848323597679428,0.04936609014304001,0.08886877256075332,0.0641262113674372,0.08295358769433116,0.11104686774916642,0.10222198210424636,0.053314420724966415,0.09397819074556943,0.0948990920804794,0.11526016339510434,0.10190231368538072,0.20889710056509853,0.21052042520820605,0.14998619706983696,0.07699799916497632,0.06410011952751764,0.06326737366188027,0.2187889135224635,0.057616416001191696,0.2132341741158445,0.21240998485201915,0.175357903418947,0.07145498487265037,0.06549155995900477,0.21316680551684192,0.08554182690825216,0.06847094387561059,0.05703676457019008,0.0867440137117076,0.08127105489796538,0.13277794527254955,0.09047771920612295,0.07543910113938403,0.0961011068549544,0.08885320005846402,0.0802846507200284,0.0876675950891274,0.07723012042278275,0.08720968941527268,0.0902738205894244,0.08214871044387084,0.08765972535541665,0.2690757630660771,0.10449374819547949,0.09512129300926488,0.11784886922786245,0.188824690529291,0.1481757474910429,0.10871602920601808,0.17538372719180423,0.16685111062029032,0.15940441584036716,0.25858459880690654,0.07943950904294389,0.1856806456784349,0.15339024624860678,0.058945869931024554,0.10898894496786932,0.17347147379921904
脑出血前mRS评分,0.14879968478723138,0.07915519044097948,1.0,0.10101378946911681,0.5200371911350402,0.011710196705454133,0.05885952109056727,0.08521204920913832,0.03696124374221136,0.06387708337324818,0.1803779917869701,0.18256561747023434,0.1321016772093428,0.04308273628219472,0.12819322602112893,0.13252679158075575,0.062153247263458083,0.0393294050086989,0.08132204147266749,0.15750086158129628,0.11373608646265758,0.08696747150537645,0.08655802337430359,0.08904338309797193,0.07003568814888363,0.0647751039143978,0.07211421320109983,0.09747463522464368,0.12471621813722517,0.08585846943202714,0.0610340867485541,0.19322862312998917,0.10712686338751504,0.11844572401639626,0.07312551852444389,0.04911027902738941,0.04893971287069585,0.07886291334769441,0.1424095981720467,0.10298187652102114,0.08565008174030282,0.04538586752687257,0.14692013807888912,0.1435158722535495,0.2025411538221383,0.11007359575143688,0.16186588457232232,0.20043501332653121,0.09762170319017627,0.12088144036352595,0.1841147303292857,0.15809017943604087,0.20899667718474632,0.20416117053404223,0.26383883490542204,0.18540810470903796,0.18791945956558773,0.12274705904367161,0.19993447282239252,0.2812993463181551,0.12340341890606413,0.1432356676344931,0.17344897869651343,0.11651879975946257,0.1431899529106015,0.13757331032339434,0.1287112280365672,0.14925714491827238,0.12357028960411261,0.13597052028517112,0.1325899836360007,0.2795168887228519,0.1157651985180848,0.10525130004356856,0.07104419438665133,0.0801641191353957,0.0794294916705424,0.09947863953728994,0.08292861383178647,0.11171582047508156,0.10019020463144698,0.11113377765791654,0.09556427332721348,0.08085481103877945,0.09830017609759681,0.14114305534565025,0.11100097216125848,0.10706323773894257,0.09444758153400333,0.1017039839410916,0.07840086769715589,0.15399952452259405,0.07212338543769763,0.10075346552260656,0.15480054274093866,0.09628265756598413,0.09637146771002028,0.09364501575791481,0.11300863148143754,0.1499080529614645,0.09584016892447089,0.12992599436010657,0.06758907667899888,0.15966158273331973
高血压病史,0.15964870960872848,0.16351013060003783,0.10101378946911681,1.0,0.05403763616919046,0.0569539458915294,0.01593979280729463,0.023076341497727398,0.038640580200399004,0.028250340517872254,0.1071267737191427,0.2977925622301129,0.20974426660370146,0.09974025001705085,0.007597174671947872,0.009735557162909504,0.22359089212392744,0.09001726614245016,0.01593979280729463,0.07851823864336799,0.08164387452797345,0.1477352118430341,0.06726769213143999,0.046481453806730424,0.13591149461597318,0.1341241550058262,0.07888528692452582,0.023061043719190388,0.06816995866321231,0.05377397221201266,0.045797776846110146,0.10758937223046977,0.1590432717802571,0.07590844833355205,0.05346952869716738,0.06480033410575961,0.07142649801293229,0.062317107798095066,0.045919999510669926,0.0658106286867428,0.059856044883891624,0.16231201199540254,0.04961714405501863,0.06983358152748877,0.0880176146804155,0.11710482360151764,0.08317199959054881,0.14389780497882837,0.09012304280982192,0.10565067230372761,0.11033538566770476,0.09059228369493931,0.08927373049252904,0.10198465762574212,0.09404924969117572,0.11083149791604804,0.14101814163218887,0.12120848262784902,0.16558787582376444,0.12284550778860759,0.05191472037762241,0.1165863451420311,0.07020243722731377,0.055171291976156285,0.13073069673993767,0.1267931750395793,0.14769778533419564,0.0757050748089053,0.04904297150742616,0.12678845736271394,0.09126027178309891,0.12700256997444678,0.054630114200961415,0.2299803122183025,0.1754292826732407,0.08313122659720622,0.0766237203175286,0.08762604639810233,0.09303376386706975,0.04961364378327204,0.07350499002189158,0.07639282005706963,0.0824334340364829,0.10043890224910186,0.07596500739991992,0.04745633255713342,0.07639820106415655,0.18802476975007565,0.12435050630632048,0.1143418765644913,0.08979527825352795,0.060908953898413006,0.09070489752306928,0.0768414794778992,0.060324756674686286,0.15671912654527093,0.16430224647150377,0.20127353562852324,0.09345056135755454,0.05937438257022955,0.151484034615207,0.12302599050105241,0.08153329029674605,0.06626599327688971
卒中病史,0.2517570569826938,0.037513221613195986,0.5200371911350402,0.05403763616919046,1.0,0.0537887179323724,0.10856356549245416,0.0501604916554858,0.03779644730092232,0.1161293567730711,0.061608313410361666,0.19169972506870792,0.12530114025766498,0.02427363689828679,0.14042421779540307,0.2497109838573863,0.08616812254005936,0.014798448809232326,0.03926767262492924,0.1824791845511469,0.13149195521764093,0.09152404389337164,0.05534208543027277,0.19814137747004285,0.15594969780880674,0.07678744774282577,0.0766430326256964,0.11017829420125114,0.042509625665445264,0.06738279636017738,0.08129282790076604,0.22195741401640673,0.10743168806020073,0.09965793003373336,0.13421385261633403,0.11911154159306957,0.07426051980525304,0.06606215004786474,0.07678241776083025,0.11772140249044369,0.06700936666054508,0.08727427249542365,0.10347492257524867,0.1257343216187067,0.21657762848377546,0.13028204675655566,0.1968538162733893,0.23082723802536997,0.15634821244439073,0.1497899652155274,0.22584662035683012,0.1683471976586931,0.21895588992651957,0.23941484721771278,0.28889114750910655,0.22698833341668803,0.08333356578943689,0.0986659408978759,0.23082256621545136,0.23877104240429872,0.07819314943124336,0.08773365534963341,0.16083972169614738,0.06619841718501254,0.09250510025219674,0.09042837231877708,0.08496525500583288,0.1726609735075203,0.07341391876623359,0.0939467632192807,0.09890155049329019,0.20696084353832406,0.062331091334360204,0.10686057941871524,0.05808789346530142,0.13543418552464537,0.07566521860108318,0.09873602234548061,0.1515589937988941,0.11621955403471737,0.07560258646492057,0.1442029875610612,0.16154402655768457,0.07401489613715123,0.14433109789517726,0.15575649152335083,0.14417501672956426,0.0923546040338311,0.08564558533706762,0.13138722142422393,0.090302687454876,0.059095379878532577,0.14047601699526904,0.06046375892163245,0.06250085968731629,0.0752752597875064,0.07897323903133184,0.08528651443152702,0.08887926916592331,0.06474167909181158,0.07754884179665072,0.12088525584975554,0.08503814005876557,0.052087594685928225
糖尿病史,0.08887173022356581,0.025904036368685383,0.011710196705454133,0.0569539458915294,0.0537887179323724,1.0,0.011389085996808967,0.1034259605852261,0.033883707378587695,0.07086834952913455,0.07891867440329722,0.14760514021659626,0.05877727828976009,0.14814080902032528,0.03537709096253014,0.19540371024829967,0.10932539038948925,0.11541849038133262,0.011389085996808967,0.011389085996808967,0.15555849756748427,0.07241303837948969,0.07310954741571501,0.09208549087255241,0.11000001232997388,0.10855028447355061,0.1797066155220757,0.10469593849729435,0.08054066759443415,0.15047091021835107,0.20628360644405513,0.06247720547980496,0.10876367248608011,0.09277230265786088,0.08791124405214978,0.09151946518560664,0.13130586095675933,0.10503267727889778,0.09609954602460478,0.11860709919379515,0.1029139958604674,0.11815227588496245,0.10909909103032783,0.131812281123457,0.060266097305049816,0.12471921516232427,0.06705209155970496,0.0609218681799324,0.07593144059204146,0.06785607878957874,0.07593185411107793,0.07351914784818135,0.15168701094069006,0.05657846751902679,0.1439633552071077,0.07465827904318342,0.13314157682319933,0.08674541225656338,0.11813618218085184,0.06381855778020865,0.08783599834447868,0.0467567522837513,0.07342974438808825,0.07254721701017455,0.11729402451744322,0.11972051952973,0.10118107201156666,0.08007414254133097,0.08480176927724385,0.11136108102613371,0.10466288741667468,0.0677899828098288,0.06919227859711659,0.20148918669548682,0.17297106502469886,0.125049736211643,0.18536806247196,0.14507237119639965,0.10408142697578916,0.12474395738744724,0.1506993634065746,0.11910860123121501,0.11961136938265209,0.18545614732352292,0.1507214771477869,0.06483840580587096,0.11925685885388845,0.07947076653949058,0.10933629556824531,0.09509143308334375,0.07841804353688044,0.09092879433222269,0.07713806542710987,0.0661682886594377,0.09889110829218162,0.09339415055032695,0.08436036703433289,0.11620603255764692,0.06779233170585669,0.09351881268686453,0.09740144119730582,0.07027928633503706,0.07236509199085228,0.10659638427458125
房颤史,0.22218373109554707,0.1159827396511994,0.05885952109056727,0.01593979280729463,0.10856356549245416,0.011389085996808967,1.0,0.3663229310066466,0.030556616567611723,0.08313914460067333,0.07899846349295483,0.05038273613802662,0.11573545516056466,0.058117444957868324,0.05676312572207664,0.0735662093383195,0.07851823864336799,0.032302359283649246,0.04575163398692522,0.04575163398692522,0.09944550340349131,0.13765937517596558,0.05029836557673418,0.06283504207414256,0.04922299872011273,0.05034982940477605,0.0891073001373688,0.03441755221071381,0.06496142573160116,0.05607948508002771,0.047441928610826814,0.041738485729512914,0.08077475236974689,0.03636112999083413,0.03771262301618886,0.05274373630806314,0.038040945444323564,0.0861816654448992,0.03976667216430416,0.08118471934685602,0.07199177833037945,0.2975167079485027,0.0896831963212096,0.07280491520594769,0.0677353896782292,0.08775084089997827,0.062434011023248775,0.10167865420818274,0.05377224455513619,0.06513066272772383,0.052464850717485204,0.06496819928669122,0.06215638665681931,0.048215735690795514,0.07858561527848885,0.0519844752877127,0.09017934707732403,0.1150467403747498,0.07060423569716286,0.12305874514476617,0.11510093198598792,0.1882395370882768,0.19163720848091204,0.11104952608975173,0.1065210467127379,0.09953824963605012,0.08995698617167774,0.12872452893196928,0.11639582376502025,0.10928539837910248,0.19060373712332424,0.13319191437652586,0.10978313296482468,0.07823527629816905,0.0634747827826036,0.07529137786438501,0.07582285219010321,0.05488953112962624,0.11355069324481962,0.07339594026610215,0.06215114931168711,0.09813253741124014,0.055199128944135624,0.05435236117358789,0.07761333108567106,0.0801593353608786,0.09805973131090684,0.1152212601074306,0.07659381566477155,0.10020714244511664,0.08415832580726247,0.1067769552136363,0.11110289192895081,0.09171535996791634,0.08959795677008207,0.10968791294466376,0.11173853178911013,0.07366783338666233,0.09533361777434796,0.09857957610690901,0.10987747447369713,0.10819363778660997,0.08804002439969025,0.08612810975460441
冠心病史,0.29690350287276884,0.025512890700427292,0.08521204920913832,0.023076341497727398,0.0501604916554858,0.1034259605852261,0.3663229310066466,1.0,0.044237395520383055,0.05485892652838515,0.11503925371344557,0.061305956882069336,0.16651547654927876,0.0032780934336923786,0.08217705772446697,0.007430455936807336,0.04529800368074072,0.045610055534388905,0.06623551151042865,0.06623551151042865,0.08816885194543128,0.08140774819549883,0.12120496192134751,0.09820194500912471,0.16601919131924825,0.07289240655406189,0.06291849346735083,0.08460104111888941,0.06725799479901916,0.11150740866406246,0.06868258321609245,0.08095694226103077,0.10339454155389058,0.05851952353192567,0.0646488057644273,0.07484224176783322,0.05507260091661528,0.04734311690080535,0.04424887200774332,0.09979391270134333,0.03545263713198836,0.19748813424237466,0.061186000434867834,0.06180074207800201,0.09792445259283031,0.11185324826492485,0.0966427942988522,0.0911096363093719,0.09237737161140987,0.11338793846634523,0.08193102306063693,0.0982633951811727,0.1428418644772367,0.07751532867830355,0.07939616232008946,0.08217154719926072,0.08799593960046133,0.09743347852776692,0.073012936067225,0.11746467851770667,0.055659649285329155,0.1558472082292362,0.13682122540040473,0.049205792602631006,0.10326841021825502,0.11050984305885025,0.057958483119082235,0.1091050469960797,0.0494068987005543,0.10480437383304518,0.275663809844617,0.11949509980515009,0.0609064217079421,0.06425741461212729,0.09484232758113542,0.0732436507287982,0.0745156282119258,0.07320272539518365,0.07991218920034711,0.08530359208940998,0.06709391295013012,0.07279877670130165,0.04834472984434389,0.07246641197059926,0.059570866308419484,0.06882081289352307,0.07266145854229601,0.08755363444380884,0.08919551134028168,0.07427411686258158,0.056067654867977636,0.14480572720478974,0.08550590115988473,0.10189530314055537,0.14741369063350232,0.06730571862252703,0.050330734207438464,0.07095457423455408,0.09137797599555376,0.13926654392080637,0.06784343944081597,0.10724316658126457,0.05748031982893872,0.153011265549056
吸烟史,0.1317339042418631,0.30848176636535357,0.03696124374221136,0.038640580200399004,0.03779644730092232,0.033883707378587695,0.030556616567611723,0.044237395520383055,1.0,0.5922879960201206,0.10455639566349273,0.1392689672008545,0.1875184231251699,0.07410231536301404,0.027118799878641332,0.07698522025643068,0.03864058020039632,0.01305100511292802,0.0305566165676096,0.0305566165676096,0.14923651721257847,0.11853644768263993,0.07860912983978662,0.08145699002469274,0.06024037400013699,0.11769681299950256,0.10471431758259704,0.10262965661167643,0.07808178781918233,0.05803187264355296,0.11089935886684102,0.13631140459932983,0.0628051304940663,0.0620936944183069,0.1250797276311413,0.06736799105443071,0.06951493032920321,0.17746709193313948,0.08762563700004858,0.10243209659776653,0.05799868117977429,0.08246643602749178,0.09546253346359988,0.15544884948305096,0.11246688513392937,0.054647358268011384,0.11329692024358502,0.10721688771820566,0.06312196784242623,0.06543513679661195,0.10810348077373923,0.05617057852193668,0.1503107552124225,0.12616959295908062,0.18562556187491372,0.10843220455906676,0.04060803401682051,0.09929730395347902,0.1063157678676878,0.1206830067500448,0.07324818590214006,0.0704916904631316,0.0703933583838517,0.08745587419623817,0.08755166068022527,0.09012297150200702,0.09625294577909106,0.098511046499825,0.08536026552469189,0.09015165613062837,0.09376154651621726,0.10810323066687898,0.08796141995450495,0.07971108693191806,0.08153355361594207,0.10302105659671557,0.04830406179376979,0.0778430474304852,0.09871691983002684,0.05133877551345957,0.04444441937799753,0.12102540923236724,0.0787728840268154,0.09488390700852438,0.1016557918296448,0.08653033747826425,0.1207960178896646,0.08984003425109309,0.0642209155464124,0.10702174136205686,0.07310079167043176,0.10014716333344832,0.10180434935823171,0.07072817042071004,0.09078859548181946,0.06639934290166498,0.08431098696479988,0.0772126653913541,0.1026858152110238,0.10127492383556913,0.061196820439284635,0.08031480275420656,0.07237846321446785,0.08690933050093487
饮酒史,0.18342666462977616,0.2658729083711158,0.06387708337324818,0.028250340517872254,0.1161293567730711,0.07086834952913455,0.08313914460067333,0.05485892652838515,0.5922879960201206,1.0,0.12567910835858676,0.11384116768482014,0.2368197768997801,0.10561010042951545,0.0574723433800241,0.00932674537408201,0.028250340517872254,0.02004956731699205,0.08313914460067333,0.08313914460067333,0.09889139106693723,0.08449080195011476,0.043685235492618685,0.08665282463684433,0.0779924630209631,0.09149491248112514,0.043853802636778946,0.0917533397056155,0.07628349951383873,0.05478321815781609,0.08621072121789677,0.09876306929147469,0.09617616761276908,0.036092145745472634,0.11282673289891246,0.05769067477149801,0.05483009096947683,0.0640526772230538,0.07885617780766871,0.0745668204345735,0.08965429531324666,0.06410759267540915,0.13954974761987288,0.1041430584910954,0.07647959600977311,0.07231147285640155,0.09844317330640967,0.07970331653219682,0.09357666930718496,0.0589228899008604,0.09138533628112078,0.07310518590912056,0.1242329918257057,0.09961276873133385,0.13471141281677004,0.09182842357974148,0.05909021509479993,0.06302413579902465,0.10512928226753897,0.11961448041243299,0.06918232032456195,0.11894374021451964,0.10266686571532298,0.06890638012894672,0.0918016769625396,0.08787869158458143,0.09338456836818956,0.11818341092847143,0.07531458151469167,0.08877029936746346,0.1613160736188968,0.10296937889858916,0.055957152056093966,0.09702058457725486,0.07056353460676115,0.09475715426676262,0.0644160307706164,0.08078550720784508,0.06721507760490296,0.07612513378535005,0.08159862494201102,0.07701432931694754,0.08320236141643031,0.08559776602775167,0.08804956824035873,0.10971820679169937,0.0770695334439146,0.0616839747412287,0.10975110516305409,0.06672426811259145,0.05907684974879294,0.12069454329201897,0.0740532278547598,0.09702841307270128,0.1262565737513329,0.09783474516456372,0.11333468091466208,0.05353458131587257,0.13217864653830722,0.12499414432916219,0.10027083518618536,0.0698967850594401,0.05917905393892818,0.12416208711648645
