,最大概率列名
0,4
1,0
2,5
3,4
4,3
5,4
6,2
7,4
8,3
9,3
10,1
11,0
12,2
13,4
14,3
15,3
16,1
17,0
18,3
19,0
20,3
21,2
22,1
23,1
24,2
25,3
26,6
27,4
28,4
29,5
30,4
31,0
32,5
33,4
34,5
35,3
36,3
37,2
38,1
39,1
40,1
41,0
42,3
43,3
44,2
45,2
46,1
47,3
48,1
49,1
50,0
51,3
52,2
53,3
54,3
55,6
56,3
57,5
58,0
59,4
60,4
61,2
62,2
63,3
64,3
65,6
66,2
67,2
68,5
69,3
70,1
71,5
72,1
73,4
74,3
75,5
76,6
77,1
78,1
79,3
80,3
81,2
82,6
83,1
84,2
85,0
86,1
87,2
88,1
89,5
90,2
91,5
92,2
93,5
94,4
95,4
96,2
97,5
98,3
99,2
100,5
101,6
102,2
103,2
104,5
105,2
106,1
107,0
108,4
109,2
110,4
111,3
112,1
113,1
114,1
115,1
116,4
117,1
118,4
119,2
120,5
121,5
122,5
123,1
124,3
125,5
126,5
127,2
128,5
129,2
